Home team,Score,Away team
Young Boys,0–3,Aston Villa
Juventus,3–1,PSV Eindhoven
Milan,1–3,Liverpool
Bayern Munich,9–2,Dinamo Zagreb
Real Madrid,3–1,VfB Stuttgart
Sporting CP,2–0,Lille
Sparta Prague,3–0,Red Bull Salzburg
Bologna,0–0,Shakhtar Donetsk
Celtic,5–1,Slovan Bratislava
Club Brugge,0–3,Borussia Dortmund
Manchester City,0–0,Inter Milan
Paris Saint-Germain,1–0,Girona
Feyenoord,0–4,Bayer Leverkusen
Red Star Belgrade,1–2,Benfica
Monaco,2–1,Barcelona
Atalanta,0–0,Arsenal
Atlético Madrid,2–1,RB Leipzig
Brest,2–1,Sturm Graz
