Home team,Score,Away team
Aston Villa,4–2,Celtic
Bayer Leverkusen,2–0,Sparta Prague
Borussia Dortmund,3–1,Shakhtar Donetsk
Young Boys,0–1,Red Star Belgrade
Barcelona,2–2,Atalanta
Bayern Munich,3–1,Slovan Bratislava
Inter Milan,3–0,Monaco
Red Bull Salzburg,1–4,Atlético Madrid
Girona,1–2,Arsenal
Dinamo Zagreb,2–1,Milan
Juventus,0–2,Benfica
Lille,6–1,Feyenoord
Manchester City,3–1,Club Brugge
PSV Eindhoven,3–2,Liverpool
Sturm Graz,1–0,RB Leipzig
Sporting CP,1–1,Bologna
Brest,0–3,Real Madrid
VfB Stuttgart,1–4,Paris Saint-Germain
