Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Champions Path,Champions Path,Champions Path,Champions Path,Champions Path
Ludogorets Razgrad,2–1,Dinamo Minsk,2–0,0–1
APOEL,2–1,Petrocub Hîncești,1–0,1–1
Ferencváros,7–1,The New Saints,5–0,2–1
PAOK,4–2,Borac Banja Luka,3–2,1–0
Bodø/Glimt,7–1,RFS,4–0,3–1
Malmö FF,6–4,KÍ,4–1,2–3
Shamrock Rovers,2–6,Sparta Prague,0–2,2–4
UE Santa Coloma,0–4,Midtjylland,0–3,0–1
Celje,1–6,Slovan Bratislava,1–1,0–5
Panevėžys,1–7,Jagiellonia Białystok,0–4,1–3
Lincoln Red Imps,0–7,Qarabağ,0–2,0–5
FCSB,2–1,Maccabi Tel Aviv,1–1,1–0
League Path,League Path,League Path,League Path,League Path
Lugano,4–6,Fenerbahçe,3–4,1–2
Dynamo Kyiv,9–2,Partizan,6–2,3–0
