Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Austria Wien,3–2,Partizani,3–1,0–1
Dynamo Kyiv,2–1,Trabzonspor,1–0,1–1
BFC Dynamo,3–3 (a),Zürich,2–0,1–3
Aston Villa,7–0,Valur,5–0,2–0
Widzew Łódź,2–6,Anderlecht,1–4,1–2
Celtic,1–2,Juventus,1–0,0–2
Ferencváros,3–5,Baník Ostrava,3–2,0–3
Hibernians,2–10,Red Star Belgrade,1–2,1–8
Start,1–4,AZ,1–3,0–1
OPS,0–8,Liverpool,0–1,0–7
CSKA Sofia,1–0,Real Sociedad,1–0,0–0
Progrès Niedercorn,1–5,Glentoran,1–1,0–4
KB,3–3 (a),Athlone Town,1–1,2–2
Universitatea Craiova,3–2,Olympiacos,3–0,0–2
Benfica,4–0,Omonia,3–0,1–0
Öster,0–6,Bayern Munich,0–1,0–5
