Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Malmö,2–1,Inter Milan,1–0,1–1
Rosenborg,0–5,Mechelen,0–0,0–5
Milan,5–0,HJK,4–0,1–0
Spora Luxembourg,0–9,Real Madrid,0–3,0–6
Rangers,1–3,Bayern Münich,1–3,0–0
Sliema Wanderers,1–5,17 Nëntori,1–0,0–5
Steaua București,5–0,Fram,4–0,1–0
PSV Eindhoven,5–0,Luzern,3–0,2–0
Sparta Prague,5–2,Fenerbahçe,3–1,2–1
Ruch Chorzów,2–6,CSKA Sofia,1–1,1–5
Marseille,4–1,Brøndby,3–0,1–1
Dynamo Dresden,4–5,AEK Athens,1–0,3–5
Budapesti Honvéd,2–2 (a),Vojvodina,1–0,1–2
Derry City,1–6,Benfica,1–2,0–4
Linfield,1–3,Dnipro Dnipropetrovsk,1–2,0–1
Swarovski Tirol,9–2,Omonia,6–0,3–2
