Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Feyenoord,2–6,Real Madrid,2–1,0–5
17 Nëntori,0–1,Kilmarnock,0–0,0–1
Fenerbahçe,1–5,Anderlecht,0–0,1–5
Lyn,6–8,Derry City,5–3,1–5
Panathinaikos,4–2,Sliema Wanderers,4–1,0–1
Keflavík,2–13,Ferencváros,1–4,1–9
Dinamo București,7–2,Boldklubben 1909,4–0,3–2
HJK,2–9,Manchester United,2–3,0–6
Drumcondra,1–3,Vorwärts Berlin,1–0,0–3
Stade Dudelange,0–18,Benfica,0–8,0–10
Djurgårdens IF,2–7,Levski Sofia,2–1,0–6
Lausanne-Sports,0–4,Sparta Prague,0–0,0–4
LASK,2–5,Górnik Zabrze,1–3,1–2
APOEL,0–10,Werder Bremen,0–5,0–5
Partizan,4–2,Nantes,2–0,2–2
