Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Hibernians,2–6,Spartak Trnava,2–2,0–4
Galatasaray,5–2,Waterford,2–0,3–2
UTA Arad,1–10,Legia Warsaw,1–2,0–8
Bayern Munich,2–3,Saint-Étienne,2–0,0–3
Vorwärts Berlin,3–1,Panathinaikos,2–0,1–1
Red Star Belgrade,12–2,Linfield,8–0,4–2
Milan,8–0,Avenir Beggen,5–0,3–0
KR,2–16,Feyenoord,2–12,0–4
Standard Liège,4–1,17 Nëntori,3–0,1–1
Olympiakos Nicosia,1–14,Real Madrid,0–8,1–6
Leeds United,16–0,Lyn,10–0,6–0
CSKA September Flag,3–5,Ferencváros,2–1,1–4
Basel,0–2,Celtic,0–0,0–2
Benfica,5–2,Kjøbenhavns Boldklub,2–0,3–2
Austria Wien,2–5,Dynamo Kyiv,1–2,1–3
Fiorentina,3–1,Öster,1–0,2–1
