0,1,2
17 Nëntori (1st),Austria Wien (1st),Standard Liège (1st)
CSKA September Flag (1st),Olympiakos Nicosia (1st),Spartak Trnava (1st)
KB (1st),Leeds United (1st),TPS (1st)
Saint-Étienne (1st),Vorwärts Berlin (1st),Bayern Munich (1st)
Panathinaikos (1st),Ferencváros (1st),KR (1st)
Waterford (1st),Fiorentina (1st),Milan (3rd)TH
Avenir Beggen (1st),Hibernians (1st),Feyenoord (1st)
Linfield (1st),Lyn (1st),Legia Warsaw (1st)
Benfica (1st),UTA Arad (1st),Celtic (1st)
Real Madrid (1st),Öster (1st),Basel (1st)
Galatasaray (1st),Dynamo Kyiv (1st),Red Star Belgrade (1st)
