Group stage,Group stage.1,Group stage.2,Group stage.3
Milan (1st),Barcelona (1st),Feyenoord (1st),Porto (1st)
Lazio (2nd),Real Madrid (2nd),Willem II (2nd),Olympiacos (1st)
Bayern Munich (1st),Bordeaux (1st),Manchester United (1st)TH,Sparta Prague (1st)
Bayer Leverkusen (2nd),Marseille (2nd),Arsenal (2nd),Rosenborg (1st)
Third qualifying round,Third qualifying round,Third qualifying round,Third qualifying round
Fiorentina (3rd),Valencia (4th),AEK Athens (2nd),Croatia Zagreb (1st)
Parma (4th),Lyon (3rd),Teplice (2nd),Galatasaray (1st)
Hertha BSC (3rd),PSV Eindhoven (3rd),Sturm Graz (1st),AaB (1st)
Borussia Dortmund (4th),Chelsea (3rd),Spartak Moscow (1st),Servette (1st)
Mallorca (3rd),Boavista (2nd),,
Second qualifying round,Second qualifying round,Second qualifying round,Second qualifying round
Molde (2nd),Brøndby (2nd),Slovan Bratislava (1st),Rangers (1st)
Rapid Wien (2nd),Dynamo Kyiv (1st),Rapid București (1st),Hapoel Haifa (1st)
CSKA Moscow (2nd),Widzew Łódź (2nd)[Note POL],AIK (1st),Maribor (1st)
Rijeka (2nd),MTK Hungária (1st),Dinamo Tbilisi (1st),Dnepr-Transmash Mogilev (1st)
Beşiktaş (2nd),Genk (1st),Anorthosis Famagusta (1st),
First qualifying round,First qualifying round,First qualifying round,First qualifying round
ÍBV (1st),Žalgiris (1st),Glentoran (1st),HB (1st)
Haka (1st),Partizan (1st),Valletta (1st),Tirana (1st)
Skonto (1st),Zimbru Chișinău (1st),Barry Town (1st),Jeunesse Esch (1st)
Litex Lovech (1st),Flora (1st),St Patrick's Athletic (1st),Kapaz (1st)
Sloga Jugomagnat (1st),Tsement Ararat (1st),,
