Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Cagliari,3–1,Saint-Étienne,3–0,0–1
Atlético Madrid,4–1,Austria Wien,2–0,2–1
Rosenborg,0–7,Standard Liège,0–2,0–5
IFK Göteborg,1–6,Legia Warsaw,0–4,1–2
17 Nëntori,2–4,Ajax,2–2,0–2
Spartak Moscow,4–4 (a),Basel,3–2,1–2
Glentoran,1–4,Waterford,1–3,0–1
Celtic,14–0,KPV,9–0,5–0
Fenerbahçe,0–5,Carl Zeiss Jena,0–4,0–1
Sporting CP,9–0,Floriana,5–0,4–0
Újpesti Dózsa,2–4,Red Star Belgrade,2–0,0–4
Feyenoord,1–1 (a),UTA Arad,1–1,0–0
EPA Larnaca,0–16,Borussia Mönchengladbach,0–6,0–10
Everton,9–2,Keflavík,6–2,3–0
Jeunesse Esch,1–7,Panathinaikos,1–2,0–5
Slovan Bratislava,4–3,Boldklubben 1903,2–1,2–2
