Rank,Player,Team,Points
Shortlist of top three,Shortlist of top three,Shortlist of top three,Shortlist of top three
1,Sergio Ramos[2],Real Madrid,206
2,Leonardo Bonucci,Juventus,150
3,Marcelo,Real Madrid,109
Players ranked 4–10,Players ranked 4–10,Players ranked 4–10,Players ranked 4–10
4,Giorgio Chiellini,Juventus,71
5,Dani Alves,Juventus,50
6,Diego Godín,Atlético Madrid,16
7,Philipp Lahm,Bayern Munich,14
8,Dani Carvajal,Real Madrid,13
9,Gerard Piqué,Barcelona,12
10,Benjamin Mendy,Monaco,9
