Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Borussia Mönchengladbach,7–2,Wacker,1–1,6–1
CSKA Sofia,2–3,Juventus,2–1,0–2
Slovan Bratislava,1–3,Derby County,1–0,0–3
Real Madrid,4–2,Dinamo București,4–1,0–1
Benfica,7–1,Fenerbahçe,7–0,0–1
Újpesti Dózsa,5–5 (a),Zürich,4–0,1–5
Malmö FF,3–3 (2–1 p),Magdeburg,2–1,1–2
Jeunesse Esch,1–8,Bayern Munich,0–5,1–3
Olympiacos,2–3,Dynamo Kyiv,2–2,0–1
Omonia,2–5,ÍA,2–1,0–4
KB,1–5,Saint-Étienne,0–2,1–3
Rangers,5–2,Bohemians,4–1,1–1
Floriana,0–8,Hajduk Split,0–5,0–3
Molenbeek,4–2,Viking,3–2,1–0
Ruch Chorzów,7–2,KuPS,5–0,2–2
Linfield,1–10,PSV Eindhoven,1–2,0–8
