Group stage,Group stage.1,Group stage.2,Group stage.3
Lazio (1st),Bayern Munich (1st),PSV Eindhoven (1st),Spartak Moscow (1st)
Juventus (2nd),Bayer Leverkusen (2nd),Heerenveen (2nd),Olympiacos (1st)
Deportivo La Coruña (1st),Monaco (1st),Manchester United (1st),Sporting CP (1st)
Barcelona (2nd),Paris Saint-Germain (2nd),Arsenal (2nd),Real Madrid (TH)
Third qualifying round,Third qualifying round,Third qualifying round,Third qualifying round
Milan (3rd),Lyon (3rd),Porto (2nd),Dinamo Zagreb (1st)
Internazionale (4th),Feyenoord (3rd),Sparta Prague (1st),Galatasaray (1st)
Valencia (3rd),Leeds United (3rd),Tirol Innsbruck (1st),Dynamo Kyiv (1st)
Hamburger SV (3rd),Lokomotiv Moscow (2nd),Herfølge (1st),St. Gallen (1st)
1860 Munich (4th),Panathinaikos (2nd),,
Second qualifying round,Second qualifying round,Second qualifying round,Second qualifying round
Slavia Prague (2nd),Shakhtar Donetsk (2nd),Rangers (1st),Anorthosis Famagusta (1st)
Sturm Graz (2nd),Rosenborg (1st),Dinamo București (1st),Torpedo Kutaisi (1st)
Brøndby (2nd),Anderlecht (1st),Dunaferr (1st),Hapoel Tel Aviv (1st)
Hajduk Split (2nd),Helsingborgs IF (1st),Inter Bratislava (1st),Maribor (1st)
Beşiktaş (2nd),Polonia Warsaw (1st),,
First qualifying round,First qualifying round,First qualifying round,First qualifying round
BATE Borisov (1st),KR (1st),Shirak (1st),KÍ (1st)
Haka (1st),Sloga Jugomagnat (1st),Linfield (1st),Tirana (1st)
Red Star Belgrade (1st),Kaunas (1st),Shelbourne (1st),F91 Dudelange (1st)
Levski Sofia (1st),Zimbru Chișinău (1st),Total Network Solutions (1st),Shamkir (1st)
Skonto (1st),Levadia Maardu (1st),Birkirkara (1st),Brotnjo (1st)
