Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Neuchâtel Xamax,6–2,Kuusysi,5–0,1–2
Bayern Munich,5–0,CSKA Sredets,4–0,1–0
Real Madrid,3–1,Napoli,2–0,1–1
Porto,6–0,Vardar,3–0,3–0
Lillestrøm,5–3,Linfield,1–1,4–2
Bordeaux,4–0,BFC Dynamo,2–0,2–0
Rapid Wien,7–0,Ħamrun Spartans,6–0,1–0
PSV Eindhoven,3–2,Galatasaray,3–0,0–2
Steaua București,4–2,MTK,4–0,0–2
Shamrock Rovers,0–1,Omonia,0–1,0–0
Dynamo Kyiv,1–2,Rangers,1–0,0–2
Olympiacos,2–3,Górnik Zabrze,1–1,1–2
AGF Aarhus,4–2,Jeunesse Esch,4–1,0–1
Benfica,4–0,Partizani,4–0,(w/o)1
Fram,0–10,Sparta Prague,0–2,0–8
Malmö FF,1–2,Anderlecht,0–1,1–1
