Group stage,Group stage.1,Group stage.2,Group stage.3
Real Madrid (1st),Manchester United (1st),VfB Stuttgart (1st),PSV Eindhoven (1st)
Barcelona (2nd),Chelsea (2nd),Schalke 04 (2nd),Olympiacos (1st)
Internazionale (1st),Lyon (1st),Porto (1st),CSKA Moscow (1st)
Roma (2nd),Marseille (2nd),Sporting CP (2nd),MilanTH(4th)
Third qualifying round,Third qualifying round,Third qualifying round,Third qualifying round
Sevilla (3rd),Toulouse (3rd),Spartak Moscow (2nd),Dynamo Kyiv (1st)
Valencia (4th),Werder Bremen (3rd),Dinamo București (1st),Sparta Prague (1st)
Lazio (3rd),Benfica (3rd),Celtic (1st),Fenerbahçe (1st)
Liverpool (3rd),Ajax (PO),Anderlecht (1st),Zürich (1st)
Arsenal (4th),AEK Athens (2nd),,
Second qualifying round,Second qualifying round,Second qualifying round,Second qualifying round
Steaua București (2nd),Slavia Prague (2nd),Rosenborg (1st),Zagłębie Lubin (1st)
Rangers (2nd),Beşiktaş (2nd),Red Bull Salzburg (1st),Copenhagen (1st)
Genk (2nd),Levski Sofia (1st),Red Star Belgrade (1st),Debrecen (1st)
Shakhtar Donetsk (2nd),Beitar Jerusalem (1st),,
First qualifying round,First qualifying round,First qualifying round,First qualifying round
Dinamo Zagreb (1st),Ventspils (1st),Derry City (2nd)[Note IRL],Khazar Lankaran (1st)
IF Elfsborg (1st),Sheriff Tiraspol (1st),Tirana (1st),F91 Dudelange (1st)
Žilina (1st),Olimpi Rustavi (1st),Pyunik (1st),Astana (1st)
APOEL (1st),Kaunas (1st),Levadia Tallinn (1st),HB (1st)
Domžale (1st),Pobeda (1st),Marsaxlokk (1st),Rànger's (1st)
Sarajevo (1st),FH (1st),The New Saints (1st),Murata (1st)
Tampere United (1st),BATE Borisov (1st),Linfield (1st),Zeta (1st)
