Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Celtic,11–1,Jeunesse Esch,5–0,6–1
Basel,2–3,Wacker,1–3,1–0
Red Star Belgrade,6–0,Sligo Rovers,3–0,3–0
Vasas,1–4,Borussia Mönchengladbach,0–3,1–1
Benfica,0–0 (4–1 p),Torpedo Moscow,0–0,0–0
Trabzonspor,1–2,Boldklubben 1903,1–0,0–2
Liverpool,Bye,,–,–
Dynamo Dresden,3–2,Halmstad,2–0,1–2
Levski-Spartak,5–2,Śląsk Wrocław,3–0,2–2
Lillestrøm,2–4,Ajax,2–0,0–4
Valur,1–2,Glentoran,1–0,0–2
Omonia,0–5,Juventus,0–3,0–2
KuPS,2–9,Club Brugge,0–4,2–5
Floriana,1–5,Panathinaikos,1–1,0–4
Dukla Prague,1–1 (a),Nantes,1–1,0–0
Dinamo București,2–3,Atlético Madrid,2–1,0–2
