Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Heart of Midlothian,1–5,Benfica,1–2,0–3
Red Star Belgrade,1–5,Újpesti Dózsa,1–2,0–3
Fredrikstad,4–3,Ajax,4–3,0–0
AGF,3–1,Legia Warsaw,3–0,0–1
Juventus,3–4,CDNA Sofia,2–0,1–4
IFK Helsingfors,2–5,IFK Malmö,1–3,1–2
Rapid Wien,4–1,Beşiktaş,4–0,0–1
Limerick,2–9,Young Boys,0–5,2–4
CCA București,(w/o)[a],Spartak Hradec Králové,–,–
Glenavon,(w/o)[b],Wismut Karl-Marx-Stadt,–,–
Reims,11–1,Jeunesse Esch,6–1,5–0
Barcelona,5–0,Lierse,2–0,3–0
