Rank[32],Player,Team,Goals,Minutes played
1,Lionel Messi,Barcelona,12,837
2,Robert Lewandowski,Bayern Munich,8,714
3,Sergio Agüero,Manchester City,6,510
3,Cristiano Ronaldo,Juventus,6,749
3,Moussa Marega,Porto,6,840
3,Dušan Tadić,Ajax,6,1080
7,Andrej Kramarić,TSG Hoffenheim,5,481
7,Paulo Dybala,Juventus,5,518
7,Neymar,Paris Saint-Germain,5,532
7,Edin Džeko,Roma,5,570
7,Lucas Moura,Tottenham Hotspur,5,725
7,Harry Kane,Tottenham Hotspur,5,778
7,Raheem Sterling,Manchester City,5,871
7,Mohamed Salah,Liverpool,5,1058
