Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Hvidovre,1–2,Ruch Chorzów,0–0,1–2
Jeunesse Esch,2–5,Fenerbahçe,2–3,0–2
Hajduk Split,9–1,Keflavík,7–1,2–0
Saint-Étienne,3–1,Sporting CP,2–0,1–1
Viking,2–6,Ararat Yerevan,0–2,2–4
Levski-Spartak,1–7,Újpesti Dózsa,0–3,1–4
Leeds United,5–3,Zürich,4–1,1–2
Slovan Bratislava,5–5 (a),Anderlecht,4–2,1–3
Celtic,1–3,Olympiacos,1–1,0–2
Feyenoord,11–1,Coleraine,7–0,4–1
VÖEST Linz,0–5,Barcelona,0–0,0–5
Valletta,2–4,HJK,1–0,1–4
Universitatea Craiova,3–4,Åtvidaberg,2–1,1–3
