0,1,2
Vllaznia (1st),Austria Wien (1st),Club Brugge (1st)
Lokomotiv Sofia (1st),Omonia (1st),Zbrojovka Brno (1st)
Odense (1st),Nottingham Forest (1st),Liverpool (2nd)TH
Haka (1st),Monaco (1st),Dynamo Dresden (1st)
Köln (1st),AEK Athens (1st),Újpesti Dózsa (1st)
ÍA (1st),Bohemians (1st),Juventus (1st)
Progrès Niedercorn (1st),Valletta (1st),PSV Eindhoven (1st)
Linfield (1st),Lillestrøm (1st),Wisła Kraków (1st)
Porto (1st),Steaua București (1st),Rangers (1st)
Real Madrid (1st),Malmö FF (1st),Grasshopper (1st)
Fenerbahçe (1st),Dynamo Kyiv (1st),Partizan (1st)
