Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
AEK Athens,7–5,Porto,6–1,1–4
Nottingham Forest,2–0,Liverpool,2–0,0–0
Real Madrid,12–0,Progrès Niedercorn,5–0,7–0
Grasshopper,13–3,Valletta,8–0,5–3
Odense,3–4,Lokomotiv Sofia,2–2,1–2
Köln,5–2,ÍA,4–1,1–1
Juventus,1–2,Rangers,1–0,0–2
Fenerbahçe,3–7,PSV Eindhoven,2–1,1–6
Vllaznia,3–4,Austria Wien,2–0,1–4
Linfield,0–1,Lillestrøm,0–0,0–1
Omonia,2–2 (a),Bohemians,2–1,0–1
Partizan,2–2 (4–5 p),Dynamo Dresden,2–0,0–2
Zbrojovka Brno,4–2,Újpesti Dózsa,2–2,2–0
Club Brugge,3–4,Wisła Kraków,2–1,1–3
Haka,1–4,Dynamo Kyiv,0–1,1–3
Malmö FF,1–0,Monaco,0–0,1–0
