Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Derry City,0–3,Maribor,0–2,0–1
Pyunik,3–6,MTK,0–2,3–4
Crusaders,2–8,Dinamo Tbilisi,1–3,1–5
Košice,4–0,ÍA,3–0,1–0
Partizan,1–5,Croatia Zagreb,1–0,0–5
Valletta,1–2,Skonto,1–0,0–2
Sileks,1–3,Beitar Jerusalem,1–0,0–3
Steaua București,5–3,CSKA Sofia,3–3,2–0
Constructorul Chișinău,3–4,MPKC Mozyr,1–1,2–3
Lantana,0–3,Jazz,0–1,0–2
GÍ,0–11,Rangers,0–5,0–6
Neftçi,0–10,Widzew Łódź,0–2,0–8
Dynamo Kyiv,6–0,Barry Town,2–0,4–0
Sion,5–0,Jeunesse Esch,4–0,1–0
Anorthosis Famagusta,4–1,Kareda,3–0,1–1
