Rank,Player,Team,Goals
1,Ferenc Puskás,Real Madrid,12
2,Alfredo Di Stéfano,Real Madrid,8
3,László Kubala,Barcelona,6
3,Owe Ohlsson,IFK Göteborg,6
5,Jacques Foix,Nice,5
5,Sándor Kocsis,Barcelona,5
5,Erwin Stein,Eintracht Frankfurt,5
8,Sammy Baird,Rangers,4
8,Joop Daniëls,Sparta Rotterdam,4
8,Evaristo,Barcelona,4
8,Dieter Lindner,Eintracht Frankfurt,4
8,Bobby Mason,Wolverhampton Wanderers,4
8,Ian McMillan,Rangers,4
8,Erich Meier,Eintracht Frankfurt,4
8,Victor Nurenberg,Nice,4
8,Alfred Pfaff,Eintracht Frankfurt,4
