Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg,Play-off
Standard Liège,6–3,Heart of Midlothian,5–1,1–2,
Beşiktaş,(w/o)[b],Olympiacos,–,–,
Young Boys,(w/o)[c],Manchester United,–,–,
NK Dinamo Zagreb,3–4,Dukla Prague,2–2,1–2,
Jeunesse Esch,2–2,IFK Göteborg,1–2,1–0,1–5
Ards,3–10,Reims,1–4,2–6,
Wismut Karl-Marx-Stadt,4–4,Petrolul Ploiești,4–2,0–2,4–0
Atlético Madrid,13–1,Drumcondra,8–0,5–1,
Polonia Bytom,0–6,MTK,0–3,0–3,
KB,5–5,Schalke 04,3–0,2–5,1–3
Juventus,3–8,Wiener Sport-Club,3–1,0–7,
VV DOS,4–6,Sporting CP,3–4,1–2,
