Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Porto,2–0,Floriana,2–0,0–0
ÍA,1–3,Feyenoord,1–0,0–3
Monaco,2–1,AEK Athens,1–0,1–1
Steaua București,4–4 (a),Croatia Zagreb,1–2,3–2
Rangers,4–4 (a),Levski Sofia,3–2,1–2
Werder Bremen,6–3,Dinamo Minsk,5–2,1–1
Linfield,3–4,Copenhagen,3–0,0–4 (a.e.t.)
Aarau,0–1,Milan,0–1,0–0
AIK,1–2,Sparta Prague,1–0,0–2
HJK,0–6,Anderlecht,0–3,0–3
Kispest Honvéd,3–5,Manchester United,2–3,1–2
Galatasaray,3–1,Cork City,2–1,1–0
Lech Poznań,7–2,Beitar Jerusalem,3–0,4–2
Skonto,0–9,Spartak Moscow,0–5,0–4
Dynamo Kyiv,4–5,Barcelona,3–1,1–4
Rosenborg,4–5,Austria Wien,3–1,1–4
