Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Paris Saint-Germain,2–3,Vítkovice,2–2,0–1
Porto,10–0,Rabat Ajax,9–0,1–0
Brøndby,6–3,Budapest Honvéd,4–1,2–2
Örgryte,3–7,BFC Dynamo,2–3,1–4
Beşiktaş,3–0,Dinamo Tirana,2–0,1–0
APOEL,3–3 (a),HJK,1–0,2–3
Shamrock Rovers,0–3,Celtic,0–1,0–2
Beroe,1–3,Dynamo Kyiv,1–1,0–2
PSV Eindhoven,0–2,Bayern Munich,0–2,0–0
Avenir Beggen,0–6,Austria Wien,0–3,0–3
Anderlecht,3–1,Górnik Zabrze,2–0,1–1
Rosenborg,2–1,Linfield,1–0,1–1
Red Star Belgrade,4–2,Panathinaikos,3–0,1–2
Young Boys,1–5,Real Madrid,1–0,0–5
Juventus,11–0,Valur,7–0,4–0
