Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Viking,1–3,Spartak Trnava,1–2,0–1
Zaria Voroshilovgrad,3–0,APOEL,2–0,1–0
Benfica,2–0,Olympiacos,1–0,1–0
Waterford United,2–6,Újpest,2–3,0–3
Bayern Munich,4–4 (4–3 p),Åtvidaberg,3–1,1–3
Dynamo Dresden,4–3,Juventus,2–0,2–3
Ajax,Bye,–,–,–
CSKA September Flag,4–0,Wacker,3–0,1–0
Club Brugge,10–0,Floriana,8–0,2–0
Basel,11–2,Fram,5–0,6–2
TPS,1–9,Celtic,1–6,0–3
Vejle,3–2,Nantes,2–2,1–0
Red Star Belgrade,3–1,Stal Mielec,2–1,1–0
Jeunesse Esch,1–3,Liverpool,1–1,0–2
Crusaders,0–12,Dinamo București,0–1,0–11
Atlético Madrid,1–0,Galatasaray,0–0,1–0
