Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
APOEL,2–7,Bayern Munich,2–3,0–4
KA,1–3,CSKA Sofia,1–0,0–3
Dinamo București,5–1,St Patrick's Athletic,4–0,1–1
Porto,13–1,Portadown,5–0,8–1
Red Star Belgrade,5–2,Grasshopper,1–1,4–1
Valletta,0–10,Rangers,0–4,0–6
Union Luxembourg,1–6,Dynamo Dresden,1–3,0–3
Malmö FF,5–4,Beşiktaş,3–2,2–2
Napoli,5–0,Újpesti Dózsa,3–0,2–0
Sparta Prague,0–4,Spartak Moscow,0–2,0–2
OB,1–10,Real Madrid,1–4,0–6
Swarovski Tirol,7–1,Kuusysi,5–0,2–1
Milan,Bye,,–,–
Lillestrøm,1–3,Club Brugge,1–1,0–2
Lech Poznań,5–1,Panathinaikos,3–0,2–1
Marseille,5–1,Dinamo Tirana,5–1,0–0
