Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Ilves,1–6,Juventus,0–4,1–2
Grasshopper,4–3,Budapesti Honvéd,3–1,1–2
Vålerenga,3–5,Sparta Praha,3–3,0–2
Labinoti,0–6,Lyngby,0–3,0–3
Bordeaux,3–2,Athletic Bilbao,3–2,0–0
Dinamo București,5–3,Omonia,4–1,1–2
Levski-Spartak,3–3 (a),VfB Stuttgart,1–1,2–2
Trabzonspor,1–3,Dnipro Dnipropetrovsk,1–0,0–3
Aberdeen,3–3 (4–5p),BFC Dynamo,2–1,1–2
Austria Wien,8–0,Valletta,4–0,4–0
Lech Poznań,0–5,Liverpool,0–1,0–4
Red Star Belgrade,3–4,Benfica,3–2,0–2
Avenir Beggen,0–17,IFK Göteborg,0–8,0–9
ÍA,2–7,Beveren,2–2,0–5
Feyenoord,1–2,Panathinaikos,0–0,1–2
Linfield,1–1 (a),Shamrock Rovers,0–0,1–1
