Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Odense,0–6,Liverpool,0–1,0–5
Lech Poznań,2–4,Athletic Bilbao,2–0,0–4
Ajax,0–2,Olympiacos,0–0,0–2
Benfica,6–2,Linfield,3–0,3–2
Rába ETO Győr,4–1,Vikingur,2–1,2–0
Dinamo Minsk,3–2,Grasshopper,1–0,2–2
Kuusysi,0–4,Dinamo București,0–1,0–3
Hamburg,(w/o),Vllaznia,–,–
Fenerbahçe,0–5,Bohemians Prague,0–1,0–4
Rapid Wien,4–3,Nantes,3–0,1–3
Athlone Town,4–11,Standard Liège,2–3,2–8
Ħamrun Spartans,0–6,Dundee United,0–3,0–3
CSKA Sofia,4–4 (a),Omonia,3–0,1–4
Roma,4–2,Gothenburg,3–0,1–2
BFC Dynamo,6–1,Jeunesse Esch,4–1,2–0
Partizan,5–1,Viking,5–1,0–0
