Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Olympiakos Nicosia,3–5,Sarajevo,2–2,1–3
Manchester United,4–0,Hibernians,4–0,0–0
Celtic,2–3,Dynamo Kyiv,1–2,1–1
Górnik Zabrze,4–0,Djurgården,3–0,1–0
Basel,4–5,Hvidovre,1–2,3–3
Ajax,2–3,Real Madrid,1–1,1–2 (a.e.t.)
Skeid,1–2,Sparta Prague,0–1,1–1
FC Karl-Marx-Stadt,2–5,Anderlecht,1–3,1–2
Dundalk,1–9,Vasas,0–1,1–8
Valur,4–4 (a),Jeunesse Esch,1–1,3–3
Glentoran,1–1 (a),Benfica,1–1,0–0
Saint-Étienne,5–0,KuPS,2–0,3–0
Beşiktaş,0–4,Rapid Wien,0–1,0–3
Eintracht Braunschweig,(w/o),Dinamo Tirana,–,–
Olympiacos,0–2,Juventus,0–0,0–2
Botev Plovdiv,2–3,Rapid București,2–0,0–3 (a.e.t.)
