Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg,Play-off
Milan,14–0,Union Luxembourg,8–0,6–0,
Floriana,1–14,Ipswich Town,1–4,0–10,
Dinamo București,1–4,Galatasaray,1–1,0–3,
Polonia Bytom,6–2,Panathinaikos,2–1,4–1,
CSKA Red Flag,6–2,Partizan,2–1,4–1,
Real Madrid,3–4,Anderlecht,3–3,0–1,
Shelbourne,1–7,Sporting CP,0–2,1–5,
Dundee,8–5,1. FC Köln,8–1,0–4,
Servette,4–4,Feyenoord,1–3,3–1,1–3 (a.e.t.)
Fredrikstad,1–11,Vasas,1–4,0–7,
Austria Wien,7–3,IFK Helsingfors,5–3,2–0,
Vorwärts Berlin,0–4,Dukla Prague,0–3,0–1,
Linfield,1–2,Esbjerg,1–2,0–0,
IFK Norrköping,3–1,Partizani,2–0,1–1,
