Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Górnik Zabrze,2–6,Bayern Munich,1–2,1–4
BFC Dynamo,1–4,Austria Wien,0–2,1–2
Rabat Ajax,0–10,Omonia,0–5,0–5
Budapest Honvéd,5–1,Shamrock Rovers,2–0,3–1
Vejle,2–5,Steaua București,1–1,1–4
Zenit Leningrad,4–0,Vålerenga,2–0,2–0
Kuusysi,4–2,Sarajevo,2–1,2–1
Linfield,3–4,Servette,2–2,1–2
ÍA,2–7,Aberdeen,1–3,1–4
IFK Göteborg,5–3,Botev Plovdiv,3–2,2–1
Bordeaux,2–3,Fenerbahçe,2–3,0–0
Sparta Prague,2–2 (a),Barcelona,1–2,1–0
Porto,2–0,Ajax,2–0,0–0
Hellas Verona,5–2,PAOK,3–1,2–1
Jeunesse Esch,1–9,Juventus,0–5,1–4
