0,1,2
Partizani (1st),Austria Wien (1st),Beveren (1st)
Levski-Spartak (1st),Omonia (1st),Dukla Prague (1st)
Vejle (1st),Liverpool (1st),Nottingham Forest (2nd)TH
HJK Helsinki (1st),Strasbourg (1st),BFC Dynamo (1st)
Hamburg (1st),AEK Athens (1st),Újpesti Dózsa (1st)
Valur (1st),Dundalk (1st),Milan (1st)
Red Boys Differdange (1st),Hibernians (1st),Ajax (1st)
Linfield (1st),Start (1st),Ruch Chorzów (1st)
Porto (1st),Argeș Pitești (1st),Celtic (1st)
Real Madrid (1st),Öster (1st),Servette (1st)
Trabzonspor (1st),Dinamo Tbilisi (1st),Hajduk Split (1st)
