0,1,2
Dinamo Tirana (1st),Austria Wien (1st),Club Brugge (1st)
CSKA Sofia (1st),APOEL (1st),Baník Ostrava (1st)
Esbjerg (1st),Liverpool (1st),Nottingham Forest (5th)TH
OPS (1st),Nantes (1st),BFC Dynamo (1st)
Bayern Munich (1st),Olympiacos (1st),Budapest Honvéd (1st)
ÍBV (1st),Limerick (1st),Internazionale (1st)
Jeunesse Esch (1st),Valletta (1st),Ajax (1st)
Linfield (1st),Viking (1st),Szombierki Bytom (1st)
Sporting CP (1st),Universitatea Craiova (1st),Aberdeen (1st)
Real Madrid (1st),Halmstad (1st),Basel (1st)
Trabzonspor (1st),Spartak Moscow (1st),Red Star Belgrade (1st)
