Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Malmö FF,3–5,Milan,2–1,1–4
Dynamo Kyiv,(w/o),Ruch Chorzów,–,–
Saint-Étienne,2–4,Celtic,2–0,0–4
Red Star Belgrade,(w/o),Carl Zeiss Jena,–,–
Waterford,2–10,Manchester United,1–3,1–7
Anderlecht,5–2,Glentoran,3–0,2–2
Rosenborg,4–6,Rapid Wien,1–3,3–3
Real Madrid,12–0,AEL Limassol,6–0,6–0
Nürnberg,1–5,Ajax,1–1,0–4
Manchester City,1–2,Fenerbahçe,0–0,1–2
Valur,1–8,Benfica,0–0,1–8
Levski-Spartak,(w/o),Ferencváros,–,–
Floriana,1–3,Reipas Lahti,1–1,0–2
Steaua București,3–5,Spartak Trnava,3–1,0–4
AEK Athens,5–3,Jeunesse Esch,3–0,2–3
Zürich,3–4,AB,1–3,2–1
