Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Monaco,0–2,CSKA Sofia,0–0,0–2 (aet)
Dinamo Zagreb,1–3,Sporting CP,1–0,0–3
Víkingur,2–4,Real Sociedad,0–1,2–3
Celtic,4–3,Ajax,2–2,2–1
Grasshopper,0–4,Dynamo Kyiv,0–1,0–3
17 Nëntori,2–2 (a),Linfield,1–0,1–2
BFC Dynamo,1–3,Hamburg,1–1,0–2
Olympiacos,2–1,Öster,2–0,0–1
Dinamo București,3–2,Dukla Prague,2–0,1–2
Aston Villa,3–1,Beşiktaş,3–1,0–0
Standard Liège,5–3,Rába ETO Győr,5–0,0–3
Hvidovre,4–7,Juventus,1–4,3–3
Avenir Beggen,0–13,Rapid Wien,0–5,0–8
Hibernians,2–7,Widzew Łódź,1–4,1–3
Omonia,2–3,HJK Helsinki,2–0,0–3
Dundalk,1–5,Liverpool,1–4,0–1
