0,1,2
17 Nëntori (1st),Rapid Wien (1st),Standard Liège (1st)
CSKA Sofia (1st),Omonia (1st),Dukla Prague (1st)
Hvidovre (1st),Liverpool (1st),Aston Villa (11th)TH
HJK Helsinki (1st),Monaco (1st),BFC Dynamo (1st)
Hamburg (1st),Olympiacos (1st),Rába ETO Győr (1st)
Víkingur (1st),Dundalk (1st),Juventus (1st)
Avenir Beggen (1st),Hibernians (1st),Ajax (1st)
Linfield (1st),Vålerenga (1st),Widzew Łódź (1st)
Sporting CP (1st),Dinamo București (1st),Celtic (1st)
Real Sociedad (1st),Öster (1st),Grasshopper (1st)
Beşiktaş (1st),Dynamo Kyiv (1st),Dinamo Zagreb (1st)
